time_s,kid_height_m,python_height_m,kid_T_K,python_T_K,delta_T_python_minus_kid_K,kid_qv,python_qv,delta_qv_python_minus_kid,kid_cloud,kid_rain,kid_total_condensed,python_qc,python_qc_over_kid_cloud,kid_total_water,python_total_water,total_water_difference,python_S_percent,kid_RH_percent
390.0,575.0,580.3835002327316,292.2965393066406,292.2385859359645,-0.05795337067610262,0.014956950210034847,0.014959459193050861,2.508983016014099e-06,0.0,1.1703247260186345e-08,1.1703247260186345e-08,0.0,,0.014956961913282107,0.014959459193050861,2.4972797687539128e-06,-0.5461438804398543,99.03504180908203
420.0,625.0,631.4893348299508,291.8084716796875,291.85446843730756,0.045996757620059725,0.014715071767568588,0.014913181485551963,0.00019810971798337428,0.00023697066353634,9.229195541138324e-08,0.00023706295549175138,4.627770749890182e-05,0.1952887619433324,0.01495213472306034,0.014959459193050865,7.32446999052519e-06,0.9566240157259999,99.9211196899414
450.0,675.0,677.0668048217997,291.3204040527344,291.70813579222386,0.3877317394894817,0.014346572570502758,0.014793102683569585,0.00044653011306682727,0.0006007759948261082,1.3726032648264663e-06,0.0006021485980909347,0.0001663565094812731,0.2769027240001895,0.014948721168593693,0.014959459193050858,1.073802445716518e-05,0.546437161808028,99.91556549072266
480.0,725.0,715.9936416341287,290.83233642578125,291.563569238128,0.7312328123467751,0.013986682519316673,0.014698411704042949,0.0007117291847262754,0.0009437986882403493,9.142489034275059e-06,0.0009529411772746244,0.0002610474890079119,0.27659234141829314,0.014939623696591298,0.014959459193050861,1.983549645956373e-05,0.36841855771855275,99.91510009765625
510.0,750.0,747.3113373538531,290.64544677734375,291.44314335394205,0.7976965765982982,0.013857504352927208,0.01462388410112785,0.0007663797482006414,0.0010996885830536485,2.2251657355809584e-05,0.001121940240409458,0.000335575091923009,0.3051546565948461,0.014979444593336666,0.014959459193050858,-1.9985400285808114e-05,0.2599648578255454,99.89212036132812
540.0,775.0,770.2487463748818,290.5440979003906,291.35587725563613,0.8117793552455055,0.01380912959575653,0.014568923773209246,0.0007597941774527151,0.0011162618175148964,4.156229260843247e-05,0.0011578241101233289,0.0003905354198416138,0.34986005407857834,0.01496695370587986,0.01495945919305086,-7.494512829000002e-06,0.17089736969934977,99.8960952758789
570.0,775.0,784.2410735622187,290.5440979003906,291.30553955123963,0.7614416508490081,0.013814776204526424,0.014534233503411795,0.000719457298885371,0.001109133125282824,6.378008401952684e-05,0.0011729132093023509,0.00042522568963906574,0.38338561886395295,0.014987689413828775,0.014959459193050861,-2.8230220777913928e-05,0.08999483060188623,99.93694305419922
600.0,800.0,788.9437813826415,290.4424743652344,291.2941797016754,0.8517053364410003,0.013771633617579937,0.014520342193509526,0.0007487085759295894,0.001099497894756496,9.921984019456431e-05,0.0011987177349510603,0.00043911699954133406,0.3993795728354574,0.014970351352530997,0.014959459193050861,-1.0892159480135888e-05,0.012737742188556249,99.9796142578125
630.0,800.0,788.9437813826415,290.4424743652344,291.29559331446416,0.8531189492297813,0.013772016391158104,0.014519774486613584,0.0007477580954554797,0.0010666854213923216,0.0001400339970132336,0.0012067194184055552,0.000439684706437275,0.4121971648055,0.014978735809563659,0.014959459193050858,-1.9276616512801242e-05,3.1635172599472744e-05,99.98239135742188
660.0,800.0,788.9437813826415,290.4424743652344,291.29559682550047,0.8531224602660927,0.013772016391158104,0.014519773076581548,0.0007477566854234442,0.0010258930269628763,0.00019001265172846615,0.0012159056786913425,0.00043968611646930605,0.42858865877174623,0.014987922069849446,0.014959459193050854,-2.8462876798591996e-05,7.853909295825663e-08,99.98239135742188
690.0,800.0,788.9437813826415,290.4424743652344,291.2955968342172,0.8531224689828036,0.013772016391158104,0.014519773073080902,0.0007477566819227982,0.000976334442384541,0.0002467965823598206,0.0012231310247443616,0.000439686119969952,0.45034375607613397,0.014995147415902466,0.014959459193050854,-3.568822285161116e-05,1.9460874974655644e-10,99.98239135742188
720.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073072088,0.0007477566819139841,0.0009187353425659239,0.0003047162317670882,0.001223451574333012,0.000439686119978774,0.4785775615758727,0.014995467965491116,0.014959459193050861,-3.600877244025469e-05,2.3812700631282506e-12,99.98239135742188
750.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0008555169915780425,0.0003555965085979551,0.0012111135001759976,0.0004396861199790721,0.5139420073563352,0.014983129891334102,0.014959459193050865,-2.367069828323673e-05,3.9323725813127077e-13,99.98239135742188
780.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0007902354700490832,0.0003921364259440452,0.0011823718959931284,0.0004396861199791762,0.5563988667224293,0.014954388287151232,0.014959459193050969,5.07090589973655e-06,3.9323725813127077e-13,99.98239135742188
810.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0007264697924256325,0.0004110303707420826,0.001137500163167715,0.00043968611997928026,0.6052366176316825,0.014909516554325819,0.014959459193051073,4.994263872525398e-05,3.9323725813127077e-13,99.98239135742188
840.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0006669950089417398,0.00041342800250276923,0.001080423011444509,0.00043968611997938434,0.6592045129048181,0.014852439402602613,0.014959459193051177,0.0001070197904485641,3.9323725813127077e-13,99.98239135742188
870.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.000613366428297013,0.00040324675501324236,0.0010166131833102554,0.0004396861199794884,0.7168408632997066,0.01478862957446836,0.014959459193051281,0.0001708296185829218,3.9323725813127077e-13,99.98239135742188
900.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0005661081522703171,0.00038500205846503377,0.0009511102107353508,0.0004396861199795925,0.7766821908786822,0.014723126601893455,0.014959459193051385,0.00023633259115793046,3.9323725813127077e-13,99.98239135742188
930.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0005248684901744127,0.00036260890192352235,0.0008874773920979351,0.0004396861199796966,0.8377072127793188,0.014659493783256039,0.01495945919305149,0.0002999654097954503,3.9323725813127077e-13,99.98239135742188
