time_s,parcel_height_m,kid_nearest_height_m,height_difference_m,w_m_s,temperature_K,pressure_mb,qv_kg_kg,RH_percent,cloud_mass_kg_kg,rain_mass_kg_kg
420.0,631.4892915298221,625.0,-6.48929152982214,1.6180340051651,291.8084716796875,930.2200927734375,0.014715071767568588,99.9211196899414,0.00023697066353634,9.229195541138324e-08
450.0,677.0667582676806,675.0,-2.066758267680598,1.4142135381698608,291.3204040527344,924.7843627929688,0.014346572570502758,99.91556549072266,0.0006007759948261082,1.3726032648264663e-06
480.0,715.9935923008392,725.0,9.006407699160832,1.1755704879760742,290.83233642578125,919.3712768554688,0.013986682519316673,99.91510009765625,0.0009437986882403493,9.142489034275059e-06
510.0,747.311285784646,750.0,2.6887142153540253,0.9079809784889221,290.64544677734375,916.6732788085938,0.013857504352927208,99.89212036132812,0.0010996885830536485,2.2251657355809584e-05
540.0,770.2486931680642,775.0,4.751306831935835,0.6180340051651001,290.5440979003906,913.98095703125,0.01380912959575653,99.8960952758789,0.0011162618175148964,4.156229260843247e-05
570.0,784.2410193564233,775.0,-9.241019356423294,0.3128689229488373,290.5440979003906,913.98095703125,0.013814776204526424,99.93694305419922,0.001109133125282824,6.378008401952684e-05
600.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013771633617579937,99.9796142578125,0.001099497894756496,9.921984019456431e-05
630.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0010666854213923216,0.0001400339970132336
660.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0010258930269628763,0.00019001265172846615
690.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.000976334442384541,0.0002467965823598206
720.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0009187353425659239,0.0003047162317670882
750.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0008555169915780425,0.0003555965085979551
