activation_scheme,w_m_s,aerosol_N_m3,dt_s,saturation_time_s,activation_time_s,activation_1pct_time_s,activation_1pct_delay_s,activation_50pct_time_s,activation_50pct_delay_s,activation_90pct_time_s,activation_90pct_delay_s,S_at_1pct_activation,S_at_50pct_activation,S_at_90pct_activation,SSmax,SSmax_percent,activated_fraction,fraction_at_SSmax,Nc_final,qc_final,mean_radius_um,ARG_Sm_percent,ARG_Smax_prediction_percent,ARG_fraction_prediction,water_error
simple_kappa,3.0,200000000.0,0.25,31.5,33.0,33.0,1.5,33.75,2.25,34.5,3.0,0.0026267497979351384,0.003699427279141747,0.004666216428691102,0.008792484692892226,0.8792484692892226,1.0,1.0,200000000.0,0.0028764378527580945,14.69914109789055,0.14865148829539546,0.8091204349401242,0.9996061396325017,5.204170427930421e-18
ARG1998,0.2,10000000.0,0.25,470.75,471.0,475.0,4.25,484.75,14.0,498.5,27.75,0.000471583793417525,0.001506937985980395,0.002849218951530943,0.005223085553599268,0.5223085553599268,0.993586012779835,0.9935857426995991,9935860.12779835,0.0011337366308001046,30.384319072341107,0.14864878645764099,0.5577688524562355,0.9956040827269725,1.734723475976807e-17
ARG1998,0.2,50000000.0,0.25,470.75,471.0,475.0,4.25,485.25,14.5,,,0.00047118601177111307,0.001497593294298047,,0.0025836005303894313,0.2583600530389431,0.8631451620590641,0.8631234590923925,43157258.1029532,0.0011361046414616264,18.635143283502664,0.14864878645764099,0.30716447160008764,0.924790377136305,-8.673617379884035e-18
ARG1998,0.2,100000000.0,0.25,470.75,471.0,475.0,4.25,486.0,15.25,,,0.00047069252184785067,0.0014874768886524072,,0.002001843187194678,0.2001843187194678,0.7221492164262296,0.7221179876020059,72214921.64262296,0.0011365177819810635,15.69858588182999,0.14864878645764099,0.23896042403170362,0.8265363662328894,6.418476861114186e-17
ARG1998,0.2,200000000.0,0.25,470.75,471.0,475.0,4.25,489.0,18.25,,,0.000469717784306063,0.0014942203376999514,,0.0015926471877244937,0.15926471877244938,0.5541929885375491,0.5541336961706134,110838597.70750982,0.0011367683701036162,13.610397334622494,0.14864878645764099,0.1857258976989723,0.670471778643171,-1.734723475976807e-17
ARG1998,0.5,10000000.0,0.25,188.25,188.5,190.0,1.75,194.0,5.75,199.0,10.75,0.0004715900044181266,0.0015398688883413072,0.0028485131640327874,0.010230915452799142,1.0230915452799143,0.999933069726027,0.9999330646547366,9999330.69726027,0.0028729826039787976,39.88513070680196,0.14864859347237996,0.9315533389244788,0.9998617061047576,3.2959746043559335e-17
ARG1998,0.5,50000000.0,0.25,188.25,188.5,190.0,1.75,194.0,5.75,200.0,11.75,0.0004713644802189947,0.0015062416638249299,0.002877916227923663,0.004623797190424276,0.4623797190424276,0.9876859546040966,0.9876823693952895,49384297.73020483,0.0028793924812671227,23.436887039666487,0.14864859347237996,0.5066867660927039,0.9924450815504157,-3.469446951953614e-18
ARG1998,0.5,100000000.0,0.25,188.25,188.5,190.0,1.75,194.25,6.0,201.5,13.25,0.00047108324432433834,0.0015253323356667953,0.0028466308170732465,0.003342933989954681,0.3342933989954681,0.9457365390405765,0.9457049981902841,94573653.90405765,0.0028806948009755047,18.875510813468185,0.14864859347237996,0.38976380991069537,0.9719286600766943,-1.734723475976807e-17
ARG1998,0.5,200000000.0,0.25,188.25,188.5,190.0,1.75,194.5,6.25,,,0.0004705229963399013,0.0014995243876954353,,0.0024714104487135753,0.24714104487135752,0.8429332128905466,0.8428795167377346,168586642.57810932,0.0028813101942460747,15.568367215301794,0.14864859347237996,0.29969598688572996,0.917626872920102,3.469446951953614e-17
ARG1998,1.0,10000000.0,0.25,94.25,94.25,95.0,0.75,97.0,2.75,99.5,5.25,0.0004715659838628535,0.0015421164161499644,0.0028709485122598026,0.01723921461016536,1.7239214610165359,0.9999993863303004,0.9999993863303004,9999993.863303004,0.002863535860722666,39.844363949781304,0.14864955840294553,1.37574036514576,0.9999948026349905,-2.0816681711721685e-17
ARG1998,1.0,50000000.0,0.25,94.25,94.25,95.0,0.75,97.0,2.75,99.75,5.5,0.0004714920821096474,0.0015169514706485927,0.002893567221011024,0.007660090660625359,0.7660090660625358,0.9994159311120429,0.9994159311120429,49970796.55560214,0.0028764152240712618,23.337562600314435,0.14864955840294553,0.7460994072704019,0.9993043132610786,-1.0408340855860843e-17
ARG1998,1.0,100000000.0,0.25,94.25,94.25,95.0,0.75,97.0,2.75,100.0,5.75,0.00047139971224280315,0.001487328794570846,0.0028756906829924505,0.005398658786813111,0.5398658786813111,0.9946742006492402,0.9946710489152039,99467420.06492402,0.002879076818001043,18.55760748229673,0.14864955840294553,0.5717880282156528,0.9961985987766677,1.734723475976807e-17
ARG1998,1.0,200000000.0,0.25,94.25,94.25,95.0,0.75,97.25,3.0,100.75,6.5,0.0004712149969193555,0.001543742921656245,0.0028796538212622876,0.0038145660829712147,0.38145660829712147,0.9689913588577113,0.9689709090897497,193798271.77154225,0.0028803794532845854,14.860265919827553,0.14864955840294553,0.43719410580072826,0.9837190400385543,5.204170427930421e-18
ARG1998,2.0,10000000.0,0.25,47.25,47.25,47.5,0.25,48.5,1.25,49.75,2.5,0.0004714600219478936,0.001543713735388675,0.002880294415274448,0.02918708599544268,2.918708599544268,0.9999999980837263,0.9999999980837263,9999999.980837263,0.002844543748680263,39.763827352662844,0.14865148829539546,2.0329257369292217,0.9999998905060159,-6.938893903907228e-18
ARG1998,2.0,50000000.0,0.25,47.25,47.25,47.5,0.25,48.5,1.25,50.0,2.75,0.0004714582808778955,0.001524988665390026,0.003073126935794443,0.012915807191596244,1.2915807191596245,0.9999906647842776,0.999990660252689,49999533.23921388,0.002870421774146304,23.318428669297752,0.14865148829539546,1.102162787449248,0.9999639838014085,-5.724587470723463e-17
ARG1998,2.0,100000000.0,0.25,47.25,47.25,47.5,0.25,48.5,1.25,50.0,2.75,0.00047145610453620986,0.0015024712359164992,0.002984385207878321,0.009062409433312223,0.9062409433312223,0.9998276920766622,0.9998274897878875,99982769.20766622,0.0028757682704084286,18.51926828097673,0.14865148829539546,0.8437486607986707,0.999709256489405,-6.938893903907228e-18
ARG1998,2.0,200000000.0,0.25,47.25,47.25,47.5,0.25,48.75,1.5,50.25,3.0,0.0004714517518603525,0.0016897214496766455,0.003038109878604305,0.006316676895697989,0.6316676895697989,0.9979135172349574,0.997912860784715,199582703.44699147,0.0028784220144607606,14.712359029022464,0.14865148829539546,0.6436751656820556,0.998156886390039,-1.734723475976807e-18
ARG1998,3.0,10000000.0,0.25,31.5,31.5,31.75,0.25,32.5,1.0,33.25,1.75,0.0006058915435720691,0.0018121152063341908,0.003017177257086375,0.03980229251153023,3.9802292511530233,0.999999999960659,0.9999999999606538,9999999.99960659,0.0028254172093340117,39.68226338166028,0.14865148829539546,2.5547958224968177,0.9999999912562809,8.673617379884035e-18
ARG1998,3.0,50000000.0,0.25,31.5,31.5,31.75,0.25,32.5,1.0,33.25,1.75,0.0006058898110642657,0.0017896078600439507,0.002960979978159998,0.01758250989937235,1.7582509899372352,0.9999994961272316,0.9999994960440682,49999974.80636158,0.0028644128138507765,23.30363266150479,0.14865148829539546,1.3856576171000865,0.9999951330354495,6.938893903907228e-18
ARG1998,3.0,100000000.0,0.25,31.5,31.5,31.75,0.25,32.5,1.0,33.25,1.75,0.0006058876454321317,0.0017623319627333507,0.0028930820537898076,0.012340354968418257,1.2340354968418257,0.999986056423767,0.9999860225712158,99998605.6423767,0.002872446912300301,18.511858200448383,0.14865148829539546,1.0608436481726113,0.9999506496537218,6.938893903907228e-18
ARG1998,3.0,200000000.0,0.25,31.5,31.5,31.75,0.25,32.5,1.0,33.5,2.0,0.0006058833141657081,0.0017105922599437817,0.0031161186440416618,0.008603592837500621,0.8603592837500621,0.9997458956174794,0.9997443738530365,199949179.12349588,0.002876437133813859,14.70038530097989,0.14865148829539546,0.8091204349401242,0.9996061396325017,-1.734723475976807e-17
