time_s,parcel_height_m,w_m_s,temperature_K,pressure_Pa,qv_kg_kg,S_fraction,S_percent,qc_kg_kg,Nc_m3,activated_fraction,mean_radius_um,G_liquid_m2_s
450.0,677.0668048217997,1.4142135623730951,291.70813579222386,92456.31260983995,0.014793102683569585,0.0054643716180802805,0.546437161808028,0.0001663565094812731,49997169.195623,0.9999433839124601,9.572325714615241,1.1560741963301407e-10
480.0,715.9936416341287,1.1755705045849465,291.563569238128,92035.51626072315,0.014698411704042949,0.0036841855771855276,0.36841855771855275,0.0002610474890079119,49997169.195623,0.9999433839124601,11.10847594240892,1.1532961288962547e-10
510.0,747.3113373538531,0.9079809994790937,291.44314335394205,91698.2118855186,0.01462388410112785,0.002599648578255454,0.2599648578255454,0.000335575091923009,49997169.195623,0.9999433839124601,12.06530986146896,1.1509411600228172e-10
540.0,770.2487463748818,0.618033988749895,291.35587725563613,91451.8641844033,0.014568923773209246,0.0017089736969934978,0.17089736969934977,0.0003905354198416138,49997169.195623,0.9999433839124601,12.680845722773302,1.1492476820082966e-10
570.0,784.2410735622187,0.31286893008046196,291.30553955123963,91301.87680092228,0.014534233503411795,0.0008999483060188623,0.08999483060188623,0.00042522568963906574,49997169.195623,0.9999433839124601,13.039296606705856,1.1483051611307984e-10
600.0,788.9437813826415,0.0,291.2941797016754,91251.51718594723,0.014520342193509526,0.00012737742188556248,0.012737742188556249,0.00043911699954133406,49997169.195623,0.9999433839124601,13.177479837328626,1.1481605712629288e-10
630.0,788.9437813826415,0.0,291.29559331446416,91251.51718594723,0.014519774486613584,3.1635172599472744e-07,3.1635172599472744e-05,0.000439684706437275,49997169.195623,0.9999433839124601,13.183133633214402,1.1482043111511425e-10
660.0,788.9437813826415,0.0,291.29559682550047,91251.51718594723,0.014519773076581548,7.853909295825663e-10,7.853909295825663e-08,0.00043968611646930605,49997169.195623,0.9999433839124601,13.183147669920015,1.1482044197912932e-10
690.0,788.9437813826415,0.0,291.2955968342172,91251.51718594723,0.014519773073080902,1.9460874974655643e-12,1.9460874974655644e-10,0.000439686119969952,49997169.195623,0.9999433839124601,13.183147704768503,1.1482044200610097e-10
720.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073072088,2.3812700631282508e-14,2.3812700631282506e-12,0.000439686119978774,49997169.195623,0.9999433839124601,13.183147704856337,1.1482044200616655e-10
750.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199790721,49997169.195623,0.9999433839124601,13.183147704859318,1.1482044200616655e-10
780.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199791762,49997169.195623,0.9999433839124601,13.183147704860357,1.1482044200616655e-10
810.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.00043968611997928026,49997169.195623,0.9999433839124601,13.183147704861398,1.1482044200616655e-10
840.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.00043968611997938434,49997169.195623,0.9999433839124601,13.183147704862437,1.1482044200616655e-10
870.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199794884,49997169.195623,0.9999433839124601,13.183147704863478,1.1482044200616655e-10
900.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199795925,49997169.195623,0.9999433839124601,13.183147704864517,1.1482044200616655e-10
930.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199796966,49997169.195623,0.9999433839124601,13.183147704865558,1.1482044200616655e-10
960.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199798007,49997169.195623,0.9999433839124601,13.183147704866599,1.1482044200616655e-10
990.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.00043968611997990476,49997169.195623,0.9999433839124601,13.183147704867638,1.1482044200616655e-10
1020.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.00043968611998000884,49997169.195623,0.9999433839124601,13.183147704868679,1.1482044200616655e-10
1050.0,788.9437813826415,0.0,291.2955968342383,91251.51718594723,0.014519773073071793,3.932372581312708e-15,3.9323725813127077e-13,0.0004396861199801129,49997169.195623,0.9999433839124601,13.183147704869718,1.1482044200616655e-10
